short_name,number_of_orders,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
joey's restaurants,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joey's seafood restaurant,5726,0.0,0.008528593230990214,0.23880061046772602,0.015261693150193016,0.0,0.0,0.0,0.003680761289164198,0.0,0.0,0.0,0.01741628512433791,0.0,0.028099470329473023,0.0,0.012927551844869378,0.0,0.029625639644492323,0.0,0.0,0.023341413053236375,0.0,0.0,0.0,0.0,0.01849358111141036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008977466558937068,0.0,0.0,0.027201723673579314,0.0,0.0,0.0,0.04264296615495107,0.0032318879612173446,0.0119400305233863,0.4600053864799354,0.0,0.0,0.0,0.0,0.057455785977197235,0.0,0.0004488733279468534,0.0
joey’s restaurants,45,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.6578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
john wong's chinese restaurant,2630,0.0,0.0,0.0341187759889114,0.010608806909052138,0.07015673312719906,0.0021324234993069626,0.0,0.0,0.009222731634502612,0.0,0.0,0.10949994668941251,0.5057042328606461,0.014500479795287345,0.0,0.0,0.0,0.02809467960336923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355581618509436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031399936027295024,0.0,0.0,0.0,0.02324341614244589,0.0022390446742723107,0.06418594732913957,0.0,0.03203966307708711,0.027295020791129117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jojo's wings,50,0.0,0.00823045267489712,0.0,0.0,0.0,0.0,0.0,0.0205761316872428,0.012345679012345678,0.00823045267489712,0.0,0.21810699588477367,0.4156378600823045,0.012345679012345678,0.0,0.00823045267489712,0.0,0.0,0.0,0.00823045267489712,0.012345679012345678,0.0,0.0,0.0,0.0,0.01646090534979424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411522633744856,0.0,0.00823045267489712,0.0,0.0,0.0,0.0,0.00823045267489712,0.18930041152263374,0.00411522633744856,0.0205761316872428,0.012345679012345678,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0
jojo's wings by ghost kitchens,14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.375,0.0,0.025,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0
jojo's wings by ghostkitchens,217,0.0,0.0,0.012589928057553957,0.00539568345323741,0.0,0.0017985611510791368,0.0,0.02158273381294964,0.0017985611510791368,0.0,0.0,0.1564748201438849,0.0,0.04316546762589928,0.0,0.05575539568345324,0.0,0.0,0.0,0.01618705035971223,0.09172661870503597,0.0,0.0,0.0,0.0,0.07913669064748201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06474820143884892,0.0,0.00539568345323741,0.0,0.0,0.0,0.0,0.00539568345323741,0.36330935251798563,0.0,0.02697841726618705,0.0,0.0,0.01079136690647482,0.03776978417266187,0.0,0.0,0.0,0.0,0.0
jolly good chinese and thai food,877,0.0,0.0,0.02300518134715026,0.020310880829015544,0.038652849740932645,0.0061139896373057,0.0,0.0,0.002797927461139896,0.0,0.0,0.05906735751295337,0.3217616580310881,0.015025906735751295,0.0,0.0,0.0,0.033782383419689116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02518134715025907,0.0,0.0,0.0,0.0007253886010362695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010466321243523317,0.0,0.0,0.0,0.030259067357512954,0.004974093264248704,0.03067357512953368,0.0,0.035958549222797925,0.02704663212435233,0.0,0.0,0.0,0.0,0.31419689119170985,0.0,0.0
jon smith subs,561,0.0,0.0,0.0,0.015128593040847202,0.01739788199697428,0.019667170953101363,0.0,0.0007564296520423601,0.0,0.0,0.0,0.12632375189107414,0.0,0.20726172465960666,0.0,0.01664145234493192,0.0,0.0045385779122541605,0.0,0.060514372163388806,0.08623298033282904,0.0,0.0,0.0,0.0,0.037821482602118005,0.009077155824508321,0.0,0.09304084720121028,0.02798789712556732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02193645990922844,0.0,0.0,0.0340393343419062,0.02193645990922844,0.0,0.0,0.1951588502269289,0.0,0.0,0.0,0.0045385779122541605,0.0
jon's pizza,2045,0.0,0.0,0.0,0.006513479283517279,0.011760448706350643,0.0,0.0,0.011398588746155238,0.0,0.005608829383028768,0.0,0.025330197213678306,0.0,0.0,0.0,0.0005427899402931065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03962366564139678,0.016283698208793197,0.0,0.029129726795730053,0.0,0.0,0.0,0.0,0.0,0.030758096616609373,0.0,0.0,0.0,0.0,0.5299439117061697,0.0,0.1831011398588746,0.07743803148181654,0.0,0.0009046499004885109,0.005246969422833364,0.0,0.0,0.0,0.0,0.0036185996019540436,0.0034376696218563416,0.019359507870454134,0.0
jonas' restaurant - hungarian cuisine,48,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987179487179487,0.0,0.0,0.0,0.04487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.2692307692307692,0.0,0.0,0.0,0.0,0.03205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jordan valley shawarma,40,0.0,0.0,0.02032520325203252,0.0,0.2073170731707317,0.016260162601626018,0.0,0.0,0.0,0.008130081300813009,0.0,0.17886178861788618,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406504065045,0.0,0.3821138211382114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13414634146341464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.0
jorge's burritos,32,0.0,0.010810810810810811,0.0,0.0,0.07027027027027027,0.010810810810810811,0.0,0.0,0.0,0.0,0.0,0.06486486486486487,0.0,0.08108108108108109,0.0,0.032432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.43243243243243246,0.0,0.0,0.0,0.0,0.0,0.032432432432432434,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.07567567567567568,0.0,0.0918918918918919,0.0,0.010810810810810811,0.0
